综合练习题
（一）、单项或多项选择题（单项选择只有一个选项是正确的，多项选择不只有一个正确选项）

1、单选 搜索引擎营销中，营销是？
A. 过程
B. 结果
C. 目的
D. 环节
答案: C

2、单选 搜索引擎营销中，搜索引擎是？
A. 过程
B. 结果
C. 目的
D. 工具
答案: D

3、单选 搜索引擎营销英文缩写是
A. SEO
B. SEM
C. UEO
D. SMO
答案: B

4、单选 不属于营销中经营环节的是
A. 市场调查
B. 产品策略
C. 定价
D. 售卖
答案: D

5、单选 搜索引擎营销属于经营中的那个环节
A. 产品策略
B. 定价
C. 渠道
D. 营销沟通
答案: D

6、单选 “营销的最终目的是使销售称为多余”这句话是谁说的
A. 彼得德鲁克
B. 法约尔
C. 法拉第
D. 爱迪生
答案: A

7、单选 营销应该以（）为导向
A. 顾客
B. 盈利
C. 产品
D. 售后
答案: A

8、多选 属于马斯洛需要层次理论的是
A. 生理需要
B. 安全需要
C. 自我实现需要
D. 自尊需要
答案: ABCD

9、单选 有购买力的欲望叫做
A. 需求
B. 需要
C. 欲望
D. 必须
答案: A

10、单选 营销的使命是
A. 满足于用户的需求
B. 获利
C. 自我实现
D. 品牌
答案: A

11、单选 营销的本质是
A. 帮助消费者解决问题
B. 用户需求
C. 实现自我价值
D. 获得利益
答案: A

12、单选 从消费者出发（）能直接影响消费者的行为
A. 感知
B. 感觉
C. 感受
D. 感官
答案: A

13、单选 营销是通过改变人类的（）来改变人们的行为
A. 认识
B. 感觉
C. 认知
D. 意识
答案: C

14、单选 马斯洛需要层次论中最底层的是
A. 生理需要
B. 安全需要
C. 自尊需要
D. 自我实现需要
答案: A

15、多选 属于营销的是
A. 网络营销
B. 口碑营销
C. 病毒营销
D. 事件营销
答案: ABCD

16、单选 利用核磁共振，脑电图技术探究大脑的工作原理和消费者行为的营销方式称为
A. 神经营销
B. 脑电图营销
C. 核磁营销
D. 精神营销
答案: A

17单选 直接面向消费者进行销售叫做（）
A. 直销
B. 营销
C. 销售
D. 促销
答案: B

18、单选 （）决定价格
A. 定位
B. 市场细分
C. 市场
D. 目标市场
答案: A

19、多选 影响价格制定的因素有（）
A. 成本
B. 需求
C. 市场
D. 渠道
答案: ABCD

20、单选 定位是营销的（）
A. 战术
B. 战略
C. 决策
D. 决定
答案: B

21、单选 决定卖什么这一环节叫做产品的（）
A. 定位
B. 市场细分
C. 市场目标
D. 渠道
答案: A

22、单选 不属于4C的是
A. 消费者
B. 成本
C. 价格
D. 便利
答案: C

23、单选 4C理论是（）提出的
A. 德鲁克
B. 福特
C. 法约尔
D. 罗伯特
答案: D

24、单选 不属于4P理论的是
A. 产品
B. 价格
C. 渠道
D. 售后
答案: D

25、单选 STP属于企业中营销的（）决策
A. 战略
B. 战术
C. 中期
D. 短期
答案: A

26、单选 STP中的S指的是
A. 市场细分
B. 目标市场选择
C. 定位
D. 市场
答案: A

27、多选 营销沟通形式
A. 直邮
B. 促销
C. 公关
D. 广告
答案: ABCD

28、单选 不属于口碑营销特征的是
A. 量大
B. 质化
C. 植入
D. 好品牌
答案: D

29、单选 病毒营销属于（）营销
A. 微博营销
B. 微信营销
C. 口碑营销
D. 事件营销
答案: C

