HD Tune Pro: ST3500413AS 健康

ID                       当前     最差     阈值     数据             状态     
(01) 原始读取错误率      114      99       6        80172574         良       
(03) 马达旋转标准        100      100      0        0                良       
(04) 启动/停止计数       97       97       20       3947             良       
(05) 重新分配扇区计数    100      100      36       0                良       
(07) 寻道错误率          83       60       30       228601206        良       
(09) 通电时间计数        82       82       0        16416            良       
(0A) 旋转重试计数        100      100      97       0                良       
(0C) 电源周期计数        95       95       20       5707             良       
(B7) SATA 降挡计数       100      100      0        0                良       
(B8) 点到点错误检测计数  100      100      99       0                良       
(BB) 不可校正错误计数    100      100      0        0                良       
(BC) 命令超时            100      98       0        34360262699      良       
(BD) 未知属性            100      100      0        0                良       
(BE) 气流温度            85       46       45       252575759        良       
(C2) 温度                15       54       0        34359738383      良       
(C3) 硬件 ECC 校正       42       23       0        80172574         良       
(C5) 当前待映射扇区计数  100      100      0        0                良       
(C6) 离线无法校正        100      100      0        0                良       
(C7) 接口 CRC 错误计数   200      165      0        47650            重视     
(F0) 磁头飞行时间        100      253      0        258707355101479  良       
(F1) 未知属性            100      253      0        -816989627       良       
(F2) 未知属性            100      253      0        -15116528        良       

健康状态         : 良
